2023-09-15 17:50:14,465 INFO    Thread-16 :24884 [dir_watcher.py:_on_file_modified():288] file/dir modified: D:\xc\YOLOv5-SPD\wandb\run-20230915_174959-lmh9cwo8\files\output.log
2023-09-15 17:50:16,599 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:18,469 INFO    Thread-16 :24884 [dir_watcher.py:_on_file_modified():288] file/dir modified: D:\xc\YOLOv5-SPD\wandb\run-20230915_174959-lmh9cwo8\files\output.log
2023-09-15 17:50:20,471 INFO    Thread-16 :24884 [dir_watcher.py:_on_file_modified():288] file/dir modified: D:\xc\YOLOv5-SPD\wandb\run-20230915_174959-lmh9cwo8\files\output.log
2023-09-15 17:50:21,783 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:50:21,784 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:50:21,785 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:50:22,191 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:27,194 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:32,202 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:33,485 INFO    Thread-16 :24884 [dir_watcher.py:_on_file_modified():288] file/dir modified: D:\xc\YOLOv5-SPD\wandb\run-20230915_174959-lmh9cwo8\files\config.yaml
2023-09-15 17:50:36,771 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:50:36,772 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:50:36,775 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:50:38,222 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:43,225 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:48,229 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:51,772 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:50:51,773 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:50:51,777 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:50:54,145 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:50:59,147 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:04,549 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:06,521 INFO    Thread-16 :24884 [dir_watcher.py:_on_file_modified():288] file/dir modified: D:\xc\YOLOv5-SPD\wandb\run-20230915_174959-lmh9cwo8\files\output.log
2023-09-15 17:51:06,722 DEBUG   SystemMonitor:24884 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-09-15 17:51:06,724 DEBUG   SenderThread:24884 [sender.py:send():379] send: stats
2023-09-15 17:51:06,771 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:51:06,771 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:51:06,779 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:51:10,037 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:12,526 INFO    Thread-16 :24884 [dir_watcher.py:_on_file_modified():288] file/dir modified: D:\xc\YOLOv5-SPD\wandb\run-20230915_174959-lmh9cwo8\files\output.log
2023-09-15 17:51:15,287 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:20,289 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:21,781 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:51:21,782 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:51:21,784 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:51:26,122 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:31,124 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:36,128 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:36,728 DEBUG   SenderThread:24884 [sender.py:send():379] send: stats
2023-09-15 17:51:36,780 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:51:36,781 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:51:36,785 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:51:41,129 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:46,131 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:51,135 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:51:51,770 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:51:51,771 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:51:51,788 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:51:56,138 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:01,141 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:06,142 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:06,729 DEBUG   SenderThread:24884 [sender.py:send():379] send: stats
2023-09-15 17:52:06,778 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:52:06,779 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:52:06,789 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:52:12,137 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:17,130 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:21,773 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:52:21,773 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:52:21,791 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:52:23,116 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:28,119 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:33,121 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:36,731 DEBUG   SenderThread:24884 [sender.py:send():379] send: stats
2023-09-15 17:52:36,773 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:52:36,775 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:52:36,793 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:52:38,141 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:43,143 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:48,146 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:51,768 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: stop_status
2023-09-15 17:52:51,769 DEBUG   SenderThread:24884 [sender.py:send_request():406] send_request: stop_status
2023-09-15 17:52:51,796 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-15 17:52:53,184 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:52:58,200 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
2023-09-15 17:53:03,203 DEBUG   HandlerThread:24884 [handler.py:handle_request():144] handle_request: status_report
